ID,Name,Position,Team,Pick,Year,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
118,Evan Engram,TE,Giants,23,2017,310.0,5291.0,1018.0,5.2,27.0,11.0,289.0,377.0,598.0,3879.0,26.0,16.0,6.3,190.0,398.0,1412.0,6.0,3.5,73.0,88.0,857.0,26.0,193.0,27.5,13.0,27.6,2.35,5.4,27.4,1.49,284.0,5435.0,1062.0,5.1,25.0,8.0,298.0,369.0,630.0,4018.0,15.0,17.0,6.0,191.0,397.0,1417.0,10.0,3.6,82.0,104.0,853.0,25.0,197.0,29.9,12.2,27.8,2.57,5.6,27.6,1.41,26.0,25.0,24.0,24.0,29.0,8.0,17.0,13.0,22.0,19.0,22.0,29.0,32.0,30.0,28.0,10.0,21.0,30.0,28.0,27.0,29.0,2.0,10.0,11.0,19.0,5.0,29.0,23.0,2.0,4.0,7.0,12.0,3.0,5.0,2.0,28.0,13.0,13.0,8.0,9.0,6.0,1.0
119,Gareon Conley,DB,Raiders,24,2017,416.0,5973.0,1048.0,5.7,14.0,7.0,333.0,379.0,596.0,4051.0,29.0,7.0,6.6,198.0,434.0,1922.0,17.0,4.4,98.0,147.0,1247.0,37.0,194.0,38.7,7.2,31.7,2.62,5.58,30.7,2.11,385.0,6001.0,987.0,6.1,30.0,14.0,318.0,328.0,541.0,4120.0,27.0,16.0,7.3,188.0,421.0,1881.0,18.0,4.5,94.0,115.0,1062.0,36.0,190.0,35.3,14.2,25.2,2.45,5.3,31.7,2.01,7.0,6.0,4.0,7.0,13.0,9.0,13.0,8.0,4.0,13.0,11.0,6.0,6.0,10.0,9.0,29.0,1.0,20.0,27.0,17.0,10.0,20.0,26.0,2.0,2.0,12.0,6.0,24.0,20.0,9.0,32.0,18.0,23.0,25.0,25.0,16.0,4.0,2.0,4.0,3.0,18.0,20.0
120,Jabrill Peppers,DB,Browns,25,2017,264.0,4976.0,983.0,5.1,25.0,11.0,296.0,338.0,567.0,3264.0,15.0,14.0,5.2,181.0,350.0,1712.0,13.0,4.9,83.0,95.0,736.0,32.0,180.0,27.2,13.3,23.4,2.52,5.63,27.4,1.44,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,179.0,40.8,6.1,30.2,2.93,6.1,35.0,2.43,31.0,30.0,21.0,24.0,26.0,18.0,28.0,30.0,16.0,31.0,31.0,19.0,16.0,2.0,31.0,9.0,32.0,25.0,24.0,28.0,30.0,30.0,31.0,30.0,30.0,31.0,7.0,21.0,32.0,23.0,29.0,31.0,31.0,25.0,29.0,6.0,31.0,26.0,30.0,28.0,30.0,31.0
121,Takkarist McKinley,DE,Falcons,26,2017,540.0,6653.0,995.0,6.7,11.0,4.0,379.0,374.0,537.0,4725.0,38.0,7.0,8.2,239.0,421.0,1928.0,20.0,4.6,108.0,104.0,848.0,32.0,175.0,52.6,6.3,29.3,2.78,5.89,38.0,2.9,406.0,5939.0,1059.0,5.6,22.0,10.0,358.0,422.0,655.0,4267.0,31.0,12.0,6.2,232.0,370.0,1672.0,15.0,4.5,95.0,113.0,974.0,31.0,176.0,39.2,11.4,26.7,2.73,6.2,33.6,2.22,1.0,2.0,1.0,2.0,2.0,26.0,3.0,2.0,4.0,1.0,12.0,5.0,3.0,5.0,1.0,31.0,11.0,6.0,14.0,1.0,1.0,27.0,25.0,16.0,9.0,29.0,32.0,28.0,28.0,18.0,12.0,5.0,17.0,18.0,26.0,10.0,17.0,4.0,27.0,29.0,26.0,28.0
122,Tre'Davious White,DB,Bills,27,2017,399.0,5666.0,1012.0,5.6,12.0,5.0,328.0,286.0,474.0,3036.0,17.0,7.0,5.8,155.0,492.0,2630.0,29.0,5.3,146.0,112.0,960.0,27.0,177.0,36.7,6.8,28.9,2.7,5.91,31.8,2.14,378.0,5712.0,1019.0,5.6,18.0,6.0,338.0,306.0,511.0,3582.0,19.0,12.0,6.5,183.0,469.0,2130.0,21.0,4.5,122.0,106.0,884.0,33.0,183.0,38.8,9.3,29.5,2.72,5.8,31.0,2.06,10.0,16.0,3.0,3.0,16.0,32.0,30.0,27.0,4.0,25.0,2.0,1.0,1.0,1.0,15.0,30.0,13.0,15.0,13.0,12.0,9.0,16.0,19.0,23.0,24.0,24.0,1.0,6.0,4.0,18.0,21.0,29.0,29.0,31.0,28.0,11.0,25.0,24.0,24.0,17.0,16.0,22.0
123,Taco Charlton,DE,Cowboys,28,2017,421.0,6027.0,1010.0,6.0,15.0,9.0,358.0,325.0,483.0,3631.0,25.0,6.0,7.1,191.0,499.0,2396.0,24.0,4.8,142.0,105.0,879.0,25.0,173.0,43.9,8.7,28.8,2.95,6.04,34.8,2.45,306.0,5503.0,1009.0,5.5,20.0,11.0,330.0,425.0,633.0,4167.0,25.0,9.0,6.2,226.0,340.0,1336.0,9.0,3.9,79.0,90.0,784.0,25.0,168.0,35.1,11.3,28.6,2.72,6.2,32.7,1.86,5.0,5.0,5.0,13.0,4.0,30.0,23.0,14.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,26.0,15.0,2.0,5.0,4.0,4.0,5.0,14.0,19.0,8.0,22.0,30.0,26.0,17.0,27.0,14.0,1.0,1.0,3.0,11.0,17.0,19.0,18.0,24.0,30.0,25.0,16.0
124,David Njoku,TE,Browns,29,2017,264.0,4976.0,983.0,5.1,25.0,11.0,296.0,338.0,567.0,3264.0,15.0,14.0,5.2,181.0,350.0,1712.0,13.0,4.9,83.0,95.0,736.0,32.0,180.0,27.2,13.3,23.4,2.52,5.63,27.4,1.44,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,179.0,40.8,6.1,30.2,2.93,6.1,35.0,2.43,31.0,30.0,21.0,24.0,26.0,18.0,28.0,30.0,16.0,31.0,31.0,19.0,16.0,2.0,31.0,9.0,32.0,25.0,24.0,28.0,30.0,30.0,31.0,30.0,30.0,31.0,7.0,21.0,32.0,23.0,29.0,31.0,31.0,25.0,29.0,6.0,31.0,26.0,30.0,28.0,30.0,31.0
125,T.J. Watt,LB,Steelers,30,2017,399.0,5962.0,1026.0,5.8,18.0,3.0,336.0,381.0,596.0,4202.0,33.0,15.0,6.8,210.0,409.0,1760.0,13.0,4.3,97.0,112.0,1068.0,29.0,182.0,38.5,9.9,27.3,2.7,5.81,32.7,2.16,327.0,5482.0,997.0,5.5,23.0,10.0,313.0,381.0,590.0,3882.0,20.0,13.0,6.2,184.0,369.0,1600.0,15.0,4.3,95.0,109.0,920.0,34.0,177.0,34.5,11.9,28.7,2.72,5.8,30.9,1.82,10.0,7.0,11.0,1.0,12.0,9.0,5.0,4.0,18.0,8.0,16.0,14.0,16.0,15.0,10.0,20.0,26.0,15.0,16.0,9.0,8.0,10.0,12.0,14.0,9.0,11.0,23.0,16.0,5.0,15.0,11.0,4.0,13.0,18.0,19.0,21.0,15.0,19.0,24.0,19.0,15.0,12.0
126,Reuben Foster,LB,49ers,31,2017,309.0,4930.0,996.0,4.9,25.0,15.0,287.0,287.0,491.0,2911.0,21.0,10.0,5.4,152.0,458.0,2019.0,15.0,4.4,116.0,99.0,831.0,19.0,197.0,27.4,10.7,27.2,2.18,5.18,25.0,1.55,480.0,6502.0,1102.0,5.9,20.0,10.0,358.0,322.0,521.0,3848.0,30.0,10.0,6.9,187.0,548.0,2654.0,25.0,4.8,140.0,93.0,795.0,31.0,203.0,41.4,9.4,31.6,2.63,5.6,31.9,2.33,27.0,31.0,21.0,32.0,30.0,29.0,32.0,19.0,10.0,29.0,5.0,4.0,13.0,11.0,29.0,18.0,27.0,32.0,30.0,31.0,25.0,32.0,32.0,19.0,9.0,29.0,2.0,14.0,25.0,23.0,28.0,32.0,32.0,32.0,32.0,4.0,24.0,30.0,15.0,8.0,21.0,30.0
127,Ryan Ramczyk,T,Saints,32,2017,469.0,6816.0,1105.0,6.2,24.0,9.0,395.0,472.0,674.0,5074.0,38.0,15.0,7.2,265.0,404.0,1742.0,17.0,4.3,105.0,107.0,969.0,25.0,181.0,45.9,12.7,27.4,2.73,6.28,37.8,2.59,454.0,6006.0,1008.0,6.0,21.0,12.0,353.0,378.0,582.0,4380.0,27.0,9.0,7.2,230.0,396.0,1626.0,19.0,4.1,91.0,104.0,881.0,32.0,172.0,45.3,12.2,29.6,2.7,6.1,34.9,2.43,2.0,1.0,19.0,13.0,1.0,2.0,1.0,2.0,18.0,4.0,19.0,16.0,6.0,13.0,2.0,11.0,23.0,12.0,3.0,2.0,2.0,31.0,27.0,17.0,6.0,27.0,19.0,32.0,20.0,27.0,31.0,11.0,14.0,28.0,15.0,1.0,12.0,25.0,21.0,26.0,29.0,32.0
128,Jared Goff,QB,Rams,1,2016,280.0,4761.0,920.0,5.2,22.0,11.0,241.0,273.0,473.0,2805.0,11.0,11.0,5.7,126.0,429.0,1956.0,16.0,4.6,92.0,122.0,1057.0,23.0,196.0,24.5,10.2,27.9,2.3,4.85,24.3,1.29,330.0,5885.0,1091.0,5.4,26.0,13.0,320.0,399.0,597.0,4065.0,21.0,13.0,6.4,192.0,453.0,1820.0,7.0,4.0,98.0,109.0,992.0,30.0,198.0,31.8,12.1,26.4,2.68,5.7,29.6,1.52,29.0,32.0,15.0,22.0,32.0,29.0,32.0,32.0,9.0,30.0,14.0,7.0,6.0,6.0,32.0,21.0,13.0,31.0,32.0,32.0,31.0,13.0,23.0,10.0,4.0,18.0,22.0,23.0,7.0,17.0,13.0,24.0,20.0,3.0,14.0,22.0,13.0,7.0,23.0,14.0,11.0,8.0
129,Carson Wentz,QB,Eagles,2,2016,377.0,5830.0,1102.0,5.3,31.0,13.0,339.0,405.0,623.0,4087.0,23.0,18.0,6.2,193.0,442.0,1743.0,15.0,3.9,110.0,104.0,819.0,36.0,203.0,29.1,15.3,26.4,2.05,5.57,28.4,1.62,430.0,6426.0,1148.0,5.6,26.0,11.0,365.0,394.0,633.0,4273.0,36.0,15.0,6.4,239.0,478.0,2153.0,10.0,4.5,100.0,123.0,1049.0,26.0,203.0,36.0,11.8,27.3,2.7,5.8,31.6,1.99,13.0,12.0,29.0,28.0,7.0,6.0,12.0,20.0,26.0,19.0,11.0,14.0,10.0,21.0,27.0,4.0,23.0,32.0,20.0,24.0,23.0,28.0,30.0,10.0,11.0,30.0,28.0,28.0,31.0,10.0,15.0,30.0,32.0,10.0,28.0,15.0,16.0,14.0,25.0,23.0,25.0,22.0
130,Joey Bosa,DE,Chargers,3,2016,320.0,5949.0,1100.0,5.4,24.0,11.0,344.0,442.0,667.0,4591.0,30.0,13.0,6.5,230.0,393.0,1358.0,4.0,3.5,79.0,117.0,942.0,35.0,178.0,33.7,12.4,23.3,2.87,6.36,33.4,1.78,398.0,5791.0,959.0,6.0,20.0,9.0,299.0,328.0,510.0,3786.0,22.0,11.0,7.0,170.0,417.0,2005.0,17.0,4.8,101.0,120.0,976.0,28.0,180.0,37.8,10.0,31.2,2.55,5.5,32.1,2.0,26.0,9.0,17.0,22.0,6.0,2.0,4.0,13.0,17.0,14.0,22.0,31.0,32.0,32.0,19.0,12.0,32.0,4.0,1.0,6.0,21.0,21.0,20.0,24.0,16.0,7.0,3.0,14.0,10.0,21.0,28.0,16.0,27.0,29.0,30.0,9.0,24.0,32.0,10.0,6.0,26.0,23.0
131,Ezekiel Elliott,RB,Cowboys,4,2016,275.0,5361.0,969.0,5.5,33.0,11.0,307.0,334.0,528.0,3471.0,16.0,22.0,6.2,175.0,408.0,1890.0,8.0,4.6,94.0,112.0,882.0,38.0,172.0,31.4,18.0,24.5,2.9,5.82,31.1,1.5,374.0,5567.0,997.0,5.6,11.0,3.0,317.0,330.0,506.0,3636.0,19.0,8.0,6.8,172.0,460.0,1931.0,16.0,4.2,113.0,113.0,900.0,32.0,177.0,36.7,5.6,28.6,2.63,5.8,31.5,1.89,31.0,22.0,31.0,22.0,23.0,23.0,27.0,29.0,31.0,20.0,18.0,9.0,21.0,5.0,23.0,1.0,30.0,3.0,12.0,12.0,29.0,16.0,17.0,32.0,30.0,14.0,2.0,5.0,3.0,30.0,24.0,26.0,22.0,28.0,19.0,11.0,32.0,23.0,18.0,24.0,24.0,15.0
132,Jalen Ramsey,DB,Jaguars,5,2016,376.0,5581.0,1012.0,5.5,28.0,10.0,313.0,355.0,607.0,4108.0,35.0,18.0,6.2,215.0,354.0,1473.0,5.0,4.2,69.0,105.0,880.0,29.0,193.0,34.2,14.0,27.2,2.32,5.4,28.6,1.85,448.0,6000.0,1102.0,5.4,18.0,9.0,362.0,390.0,602.0,4291.0,29.0,9.0,6.7,222.0,464.0,1709.0,15.0,3.7,102.0,114.0,989.0,38.0,194.0,38.1,8.8,28.9,2.7,5.9,30.9,2.05,14.0,18.0,22.0,18.0,20.0,12.0,10.0,3.0,26.0,17.0,30.0,27.0,29.0,15.0,18.0,9.0,16.0,30.0,28.0,22.0,16.0,31.0,24.0,27.0,16.0,29.0,24.0,29.0,19.0,26.0,23.0,28.0,15.0,26.0,5.0,7.0,26.0,25.0,25.0,25.0,19.0,26.0
133,Ronnie Stanley,T,Ravens,6,2016,328.0,5749.0,1083.0,5.3,28.0,7.0,323.0,426.0,676.0,4271.0,21.0,21.0,6.1,211.0,383.0,1478.0,8.0,3.9,89.0,122.0,1153.0,23.0,186.0,33.3,14.0,27.1,2.63,6.04,30.8,1.62,401.0,5398.0,1000.0,5.4,14.0,8.0,311.0,350.0,545.0,3737.0,30.0,6.0,6.4,189.0,418.0,1661.0,10.0,4.0,80.0,103.0,748.0,42.0,187.0,37.4,7.0,28.0,2.62,5.5,28.8,1.98,25.0,14.0,22.0,2.0,16.0,1.0,8.0,23.0,29.0,22.0,25.0,26.0,21.0,24.0,20.0,10.0,17.0,15.0,5.0,15.0,22.0,24.0,8.0,30.0,22.0,12.0,10.0,10.0,22.0,32.0,16.0,17.0,12.0,10.0,10.0,10.0,30.0,20.0,15.0,9.0,8.0,20.0
134,DeForest Buckner,DE,49ers,7,2016,238.0,4860.0,969.0,5.0,17.0,5.0,261.0,322.0,526.0,3316.0,16.0,12.0,5.7,154.0,390.0,1544.0,7.0,4.0,83.0,113.0,823.0,24.0,182.0,25.8,8.2,23.7,2.35,5.47,26.6,1.28,387.0,6199.0,1081.0,5.7,12.0,3.0,356.0,375.0,549.0,4179.0,21.0,9.0,7.2,199.0,504.0,2020.0,20.0,4.0,128.0,112.0,920.0,29.0,182.0,37.9,6.6,28.9,3.0,6.1,34.0,2.04,32.0,31.0,4.0,1.0,31.0,24.0,29.0,29.0,11.0,28.0,23.0,21.0,24.0,20.0,29.0,30.0,31.0,28.0,26.0,29.0,32.0,18.0,29.0,31.0,30.0,28.0,12.0,27.0,7.0,26.0,30.0,32.0,29.0,31.0,12.0,8.0,31.0,25.0,32.0,32.0,30.0,25.0
135,Jack Conklin,T,Titans,8,2016,299.0,4988.0,976.0,5.1,33.0,16.0,298.0,342.0,551.0,3503.0,25.0,17.0,5.8,195.0,371.0,1485.0,10.0,4.0,66.0,93.0,779.0,37.0,191.0,25.7,16.2,27.0,2.48,5.19,26.1,1.5,423.0,5475.0,1004.0,5.5,19.0,8.0,317.0,319.0,503.0,3678.0,34.0,11.0,6.8,192.0,462.0,1797.0,11.0,3.9,101.0,112.0,982.0,24.0,186.0,36.6,8.1,28.8,2.65,5.5,29.3,2.06,28.0,30.0,31.0,31.0,27.0,21.0,25.0,18.0,24.0,27.0,28.0,25.0,18.0,17.0,31.0,3.0,18.0,22.0,31.0,31.0,28.0,27.0,12.0,25.0,22.0,14.0,1.0,7.0,29.0,21.0,25.0,27.0,18.0,17.0,8.0,14.0,28.0,24.0,19.0,10.0,10.0,27.0
136,Leonard Floyd,LB,Bears,9,2016,335.0,5517.0,1025.0,5.4,21.0,9.0,312.0,334.0,523.0,3663.0,21.0,12.0,6.6,177.0,468.0,1854.0,13.0,4.0,108.0,99.0,909.0,27.0,179.0,37.4,11.2,29.4,2.82,5.94,30.7,1.88,397.0,5527.0,981.0,5.6,17.0,9.0,307.0,322.0,513.0,3593.0,31.0,8.0,6.6,182.0,433.0,1934.0,9.0,4.5,103.0,98.0,895.0,22.0,175.0,36.6,8.0,26.4,2.68,5.8,31.4,2.01,23.0,21.0,13.0,15.0,21.0,25.0,23.0,23.0,11.0,13.0,6.0,11.0,12.0,19.0,10.0,17.0,6.0,6.0,8.0,16.0,15.0,20.0,14.0,28.0,16.0,10.0,5.0,4.0,25.0,30.0,18.0,21.0,23.0,8.0,26.0,13.0,29.0,7.0,23.0,19.0,22.0,24.0
137,Eli Apple,DB,Giants,10,2016,420.0,5956.0,1053.0,5.7,21.0,7.0,331.0,392.0,623.0,4347.0,36.0,14.0,6.7,208.0,403.0,1609.0,5.0,4.0,77.0,102.0,777.0,46.0,186.0,38.2,11.3,28.0,2.45,5.83,32.0,2.03,442.0,6725.0,1105.0,6.1,28.0,13.0,367.0,423.0,638.0,4783.0,31.0,15.0,7.2,236.0,444.0,1942.0,15.0,4.4,104.0,120.0,1077.0,27.0,190.0,40.5,14.2,25.9,2.7,6.0,35.2,2.18,6.0,8.0,13.0,2.0,12.0,6.0,7.0,1.0,19.0,11.0,19.0,18.0,29.0,18.0,8.0,16.0,12.0,24.0,11.0,8.0,8.0,30.0,32.0,6.0,4.0,31.0,29.0,32.0,25.0,10.0,29.0,22.0,24.0,26.0,24.0,4.0,8.0,6.0,25.0,31.0,31.0,29.0
138,Vernon Hargreaves,DB,Buccaneers,11,2016,342.0,6014.0,1017.0,5.9,28.0,13.0,336.0,312.0,535.0,3852.0,22.0,15.0,6.9,201.0,455.0,2162.0,12.0,4.8,99.0,143.0,1195.0,36.0,176.0,35.8,14.8,26.2,2.63,6.01,34.1,1.85,417.0,5446.0,1045.0,5.2,23.0,12.0,351.0,378.0,541.0,3840.0,31.0,11.0,6.6,208.0,466.0,1606.0,12.0,3.4,104.0,104.0,862.0,39.0,180.0,41.7,12.8,30.2,2.8,6.0,30.5,2.23,20.0,5.0,22.0,28.0,9.0,22.0,17.0,22.0,22.0,8.0,8.0,5.0,15.0,2.0,13.0,7.0,25.0,15.0,7.0,5.0,17.0,26.0,10.0,16.0,9.0,26.0,7.0,16.0,25.0,21.0,19.0,29.0,11.0,20.0,2.0,3.0,11.0,31.0,31.0,30.0,18.0,30.0
139,Sheldon Rankins,DT,Saints,12,2016,408.0,6461.0,1096.0,5.9,20.0,8.0,381.0,460.0,667.0,4970.0,32.0,12.0,7.1,247.0,397.0,1491.0,16.0,3.8,98.0,130.0,1112.0,36.0,182.0,36.3,10.4,26.4,2.75,6.16,35.5,2.14,476.0,6615.0,997.0,6.6,22.0,13.0,380.0,372.0,544.0,4544.0,45.0,9.0,7.9,223.0,422.0,2071.0,12.0,4.9,103.0,114.0,887.0,54.0,180.0,43.9,11.7,27.0,2.58,5.7,36.7,2.58,8.0,2.0,11.0,7.0,1.0,2.0,1.0,10.0,11.0,4.0,20.0,24.0,6.0,27.0,11.0,19.0,23.0,10.0,3.0,1.0,6.0,32.0,31.0,19.0,4.0,32.0,9.0,31.0,32.0,26.0,32.0,19.0,31.0,20.0,32.0,1.0,18.0,10.0,13.0,13.0,32.0,32.0
140,Laremy Tunsil,T,Dolphins,13,2016,310.0,5307.0,977.0,5.4,19.0,7.0,291.0,365.0,588.0,3811.0,24.0,12.0,6.0,194.0,344.0,1496.0,11.0,4.3,72.0,134.0,1090.0,25.0,187.0,25.7,9.6,26.0,2.35,5.31,28.3,1.52,389.0,6019.0,1076.0,5.6,16.0,3.0,351.0,350.0,542.0,4000.0,31.0,13.0,7.0,203.0,503.0,2019.0,13.0,4.0,112.0,121.0,1005.0,36.0,191.0,34.0,8.4,27.3,2.73,5.8,31.4,1.94,27.0,26.0,8.0,2.0,30.0,17.0,19.0,19.0,11.0,24.0,32.0,23.0,16.0,9.0,30.0,23.0,26.0,28.0,29.0,25.0,27.0,19.0,25.0,29.0,30.0,26.0,8.0,21.0,25.0,17.0,27.0,31.0,28.0,23.0,13.0,18.0,27.0,14.0,30.0,21.0,23.0,18.0
141,Karl Joseph,DB,Raiders,14,2016,359.0,5336.0,1008.0,5.3,24.0,10.0,300.0,373.0,605.0,3879.0,34.0,14.0,6.1,193.0,370.0,1457.0,7.0,3.9,74.0,139.0,1102.0,33.0,195.0,31.8,10.3,29.4,2.42,5.3,27.3,1.79,399.0,5818.0,1085.0,5.4,25.0,11.0,344.0,404.0,641.0,4140.0,25.0,14.0,6.1,206.0,406.0,1678.0,12.0,4.1,94.0,104.0,943.0,44.0,191.0,38.2,11.5,27.7,2.6,5.9,30.5,1.92,17.0,24.0,17.0,18.0,26.0,14.0,16.0,6.0,19.0,23.0,29.0,28.0,24.0,22.0,22.0,20.0,6.0,26.0,30.0,27.0,20.0,22.0,22.0,12.0,11.0,25.0,30.0,26.0,15.0,13.0,10.0,11.0,13.0,20.0,18.0,5.0,20.0,18.0,14.0,26.0,16.0,16.0
142,Corey Coleman,WR,Browns,15,2016,278.0,5311.0,1042.0,5.1,30.0,18.0,307.0,371.0,609.0,3782.0,20.0,12.0,5.7,192.0,380.0,1529.0,5.0,4.0,81.0,120.0,1083.0,34.0,178.0,29.8,15.2,27.4,2.78,6.03,29.8,1.46,432.0,6067.0,998.0,6.1,21.0,10.0,321.0,322.0,511.0,4012.0,34.0,11.0,7.4,186.0,458.0,2055.0,11.0,4.5,104.0,108.0,833.0,31.0,179.0,41.9,11.7,29.0,2.7,5.8,33.8,2.26,30.0,25.0,26.0,32.0,23.0,11.0,21.0,26.0,11.0,29.0,27.0,22.0,29.0,16.0,25.0,5.0,15.0,9.0,6.0,19.0,30.0,29.0,27.0,22.0,14.0,19.0,4.0,22.0,29.0,21.0,31.0,25.0,30.0,17.0,27.0,2.0,17.0,27.0,25.0,20.0,29.0,31.0
143,Taylor Decker,T,Lions,16,2016,358.0,5547.0,1030.0,5.4,24.0,10.0,337.0,420.0,632.0,4212.0,33.0,14.0,6.2,236.0,354.0,1335.0,7.0,3.8,71.0,104.0,930.0,30.0,179.0,34.6,12.3,25.6,2.82,5.89,31.0,1.93,400.0,5597.0,999.0,5.6,19.0,10.0,319.0,360.0,528.0,3789.0,27.0,9.0,6.6,191.0,428.0,1808.0,18.0,4.2,96.0,96.0,785.0,32.0,186.0,38.2,9.1,29.2,2.52,5.5,30.0,2.13,18.0,20.0,17.0,18.0,8.0,4.0,9.0,8.0,19.0,18.0,30.0,32.0,24.0,26.0,16.0,13.0,28.0,6.0,9.0,14.0,13.0,23.0,18.0,25.0,14.0,17.0,6.0,15.0,18.0,26.0,21.0,20.0,19.0,30.0,20.0,6.0,25.0,28.0,7.0,7.0,13.0,28.0
144,Keanu Neal,DB,Falcons,17,2016,339.0,5985.0,1073.0,5.6,30.0,13.0,359.0,410.0,621.0,4379.0,21.0,17.0,6.7,230.0,420.0,1606.0,13.0,3.8,95.0,100.0,969.0,34.0,174.0,34.5,17.2,27.0,2.97,6.34,34.2,1.84,345.0,5562.0,996.0,5.6,23.0,8.0,335.0,370.0,561.0,3882.0,19.0,15.0,6.7,197.0,416.0,1680.0,20.0,4.0,107.0,95.0,728.0,31.0,172.0,34.3,13.4,27.1,2.65,5.9,32.3,1.94,21.0,7.0,26.0,28.0,3.0,8.0,6.0,23.0,24.0,10.0,16.0,19.0,12.0,25.0,17.0,2.0,18.0,1.0,2.0,4.0,18.0,14.0,16.0,16.0,22.0,24.0,15.0,18.0,3.0,10.0,22.0,15.0,14.0,31.0,15.0,17.0,9.0,11.0,19.0,29.0,27.0,17.0
145,Ryan Kelly,C,Colts,18,2016,333.0,5142.0,1052.0,4.9,30.0,11.0,311.0,355.0,619.0,3704.0,26.0,19.0,5.6,195.0,396.0,1438.0,6.0,3.6,77.0,108.0,931.0,39.0,194.0,29.4,14.4,26.8,2.48,5.56,26.5,1.54,408.0,6066.0,1072.0,5.7,25.0,8.0,331.0,354.0,585.0,4114.0,29.0,17.0,6.6,210.0,452.0,1952.0,14.0,4.3,89.0,133.0,1168.0,32.0,194.0,36.6,12.4,27.4,2.57,5.7,31.1,1.98,24.0,28.0,26.0,22.0,22.0,9.0,22.0,16.0,28.0,32.0,21.0,29.0,28.0,31.0,26.0,8.0,21.0,22.0,22.0,30.0,26.0,25.0,26.0,12.0,22.0,23.0,20.0,24.0,19.0,6.0,20.0,23.0,25.0,25.0,23.0,12.0,12.0,17.0,12.0,15.0,21.0,21.0
146,Shaq Lawson,DE,Bills,19,2016,379.0,5775.0,1016.0,5.7,19.0,10.0,297.0,295.0,465.0,3343.0,23.0,9.0,6.6,155.0,509.0,2432.0,19.0,4.8,122.0,143.0,1249.0,20.0,186.0,34.9,8.6,26.7,2.7,5.61,31.0,1.95,359.0,5702.0,1017.0,5.6,25.0,8.0,322.0,347.0,602.0,3972.0,30.0,17.0,6.4,198.0,394.0,1730.0,10.0,4.4,87.0,113.0,906.0,37.0,191.0,32.5,11.0,28.1,2.4,5.5,29.7,1.81,12.0,13.0,8.0,18.0,28.0,31.0,28.0,20.0,5.0,12.0,2.0,1.0,1.0,1.0,15.0,29.0,22.0,14.0,19.0,13.0,11.0,15.0,19.0,12.0,22.0,20.0,24.0,19.0,22.0,6.0,14.0,9.0,16.0,10.0,25.0,20.0,22.0,21.0,3.0,5.0,12.0,14.0
