Year,Round,Pick,Name,Team,Position,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
2020,1,21,Jalen Reagor,Eagles,WR,385,5772,1104.0,5.2,23,15,354,391.0,613,3833,27,8,5.9,215.0,454,1939,16,4.3,104.0,100.0,836.0,35.0,187.0,34.8,10.7,Own 28.5,2:50,6.04,30.7,1.96,354,5307,967.0,5.5,20,9,289,348.0,571,3865,27,11,6.3,185.0,353,1442,13,4.1,76.0,115.0,959.0,28.0,188.0,33.5,10.1,Own 28.9,2:19,5.3,28.1,1.86,12,14,19,31,4,8,11,12,5,20.0,7,11,13,19.0,17.0,19.0,17,7,10.0,18.0,15.0,15,10,19,14,5,21,19,21,22,16.0,3,3,14,11.0,24.0,19.0,19,1,2.0,7.0,13.0
2020,1,22,Justin Jefferson,Vikings,WR,407,5656,970.0,5.8,20,12,314,319.0,466,3523,26,8,7.1,171.0,476,2133,19,4.5,106.0,96.0,895.0,37.0,173.0,41.6,10.4,Own 29.6,2:40,5.77,32.6,2.29,303,5465,1053.0,5.2,31,14,324,394.0,601,3737,23,17,5.8,215.0,404,1728,8,4.3,78.0,83.0,713.0,31.0,173.0,34.7,17.3,Own 28.3,2:53,6.3,31.6,1.76,8,16,13,26,20,30,23,14,5,5.0,4,6,6,12.0,6.0,17.0,6,18,21.0,10.0,6.0,5,14,4,5,14,28,15,13,3,7.0,11,13,3,19.0,21.0,3.0,15,27,30.0,16.0,7.0
2020,1,23,Kenneth Murray,Chargers,LB,337,5879,997.0,5.9,31,11,349,394.0,597,4426,24,20,7.0,220.0,366,1453,12,4.0,90.0,103.0,872.0,39.0,160.0,38.8,18.1,Own 26.3,3:05,6.44,36.6,2.06,345,5009,923.0,5.4,14,3,285,328.0,464,3204,21,11,6.5,156.0,429,1805,15,4.2,101.0,108.0,959.0,28.0,161.0,36.6,8.7,Own 29.5,2:56,5.9,31.1,1.99,21,10,29,22,7,10,6,17,29,8.0,28,28,20,23.0,8.0,2.0,31,2,3.0,4.0,11.0,14,6,32,31,3,1,5,8,22,20.0,21,18,21,15.0,15.0,32.0,23,29,21.0,15.0,18.0
2020,1,24,Cesar Ruiz,Saints,C,458,5982,1011.0,5.9,8,2,347,418.0,581,4244,36,6,7.0,230.0,405,1738,12,4.3,97.0,120.0,1036.0,20.0,173.0,46.2,4.0,Own 33.7,2:59,6.05,34.6,2.5,341,5329,999.0,5.3,23,10,311,371.0,603,3868,27,13,5.9,197.0,345,1461,12,4.2,71.0,92.0,713.0,43.0,174.0,35.1,12.6,Own 26.5,2:33,5.9,30.6,1.95,3,9,1,1,8,13,7,2,3,9.0,17,16,20,18.0,3.0,32.0,2,4,9.0,7.0,3.0,13,11,10,10,12,30,20,21,12,10.0,2,4,9,17.0,19.0,12.0,5,5,19.0,12.0,16.0
2020,1,25,Brandon Aiyuk,49ers,WR,479,6097,1012.0,6.0,23,10,336,331.0,478,3792,28,13,7.4,195.0,498,2305,23,4.6,110.0,105.0,939.0,31.0,183.0,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44,310,4509,968.0,4.7,27,15,285,318.0,519,2707,23,12,4.8,150.0,401,1802,11,4.5,105.0,116.0,957.0,30.0,177.0,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,2,4,19,19,14,29,13,10,18,3.0,2,2,1,9.0,5.0,12.0,4,11,22.0,9.0,4.0,8,2,6,4,3,6,1,13,17,1.0,9,17,7,23.0,30.0,6.0,16,9,6.0,2.0,4.0
2020,1,26,Jordan Love,Packers,QB,376,5528,1020.0,5.4,13,9,320,356.0,573,3733,26,4,6.1,190.0,411,1795,18,4.4,90.0,100.0,774.0,40.0,177.0,37.3,6.8,Own 34.1,2:51,5.9,31.2,2.11,313,5642,998.0,5.7,25,8,310,326.0,546,3721,19,17,6.3,191.0,411,1921,15,4.7,99.0,97.0,968.0,20.0,178.0,34.3,14.0,Own 28.0,2:34,5.8,31.7,1.79,15,18,2,15,16,16,17,14,1,16.0,13,15,7,16.0,12.0,31.0,1,7,15.0,15.0,10.0,9,18,7,21,11,15,14,5,3,18.0,14,23,21,24.0,23.0,7.0,13,7,13.0,18.0,8.0
2020,1,27,Jordyn Brooks,Seahawks,LB,405,5991,1046.0,5.7,20,14,341,341.0,517,3791,31,6,6.7,190.0,481,2200,15,4.6,121.0,109.0,882.0,30.0,189.0,36.5,10.6,Own 30.2,2:40,5.68,31.6,2.07,398,6106,1014.0,6.0,32,16,346,383.0,598,4223,19,16,6.7,224.0,388,1883,22,4.9,97.0,96.0,798.0,25.0,179.0,36.9,16.2,Own 26.6,2:38,5.9,34.0,2.02,9,8,13,28,11,23,14,4,3,12.0,3,4,15,10.0,13.0,23.0,5,16,24.0,13.0,12.0,22,26,3,2,26,26,27,5,5,24.0,7,22,30,28.0,16.0,4.0,6,9,18.0,24.0,19.0
2020,1,28,Patrick Queen,Ravens,LB,531,6521,1064.0,6.1,15,7,386,289.0,440,3225,37,8,6.9,171.0,596,3296,21,5.5,188.0,109.0,867.0,27.0,166.0,51.8,8.4,Own 29.1,3:21,6.58,39.3,2.95,282,4809,921.0,5.2,25,12,276,318.0,544,3315,15,13,5.7,163.0,340,1494,12,4.4,74.0,97.0,795.0,39.0,166.0,32.5,14.5,Own 27.3,2:27,5.7,28.8,1.63,1,2,3,5,1,32,27,1,5,10.0,1,1,2,1.0,1.0,27.0,9,1,1.0,2.0,1.0,3,4,7,6,2,12,6,2,12,6.0,1,5,9,21.0,26.0,5.0,9,4,9.0,9.0,5.0
2020,1,29,Isaiah Wilson,Titans,T,402,5805,949.0,6.1,17,9,317,297.0,448,3582,29,8,7.1,177.0,445,2223,21,5.0,104.0,99.0,932.0,36.0,185.0,31.4,8.6,Own 27.5,2:28,5.23,31.4,2.02,331,5752,1056.0,5.4,23,9,335,386.0,598,4080,25,14,6.4,213.0,415,1672,14,4.0,95.0,125.0,1025.0,27.0,189.0,31.7,11.6,Own 28.0,2:40,5.7,30.4,1.78,10,12,7,15,17,31,21,8,5,7.0,10,3,2,3.0,24.0,28.0,25,28,29.0,14.0,13.0,12,21,10,14,20,26,24,17,8,19.0,16,12,17,7.0,27.0,16.0,11,16,12.0,13.0,10.0
2020,1,30,Noah Igbinoghene,Dolphins,DB,306,4960,1022.0,4.9,26,8,315,371.0,615,3804,22,18,5.7,210.0,349,1156,10,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053.0,6.0,16,3,361,344.0,545,4198,39,13,7.4,214.0,485,2166,15,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,25,11,18,7,12,19,27,26.0,32,32,24,31.0,26.0,9.0,23,22,19.0,29.0,25.0,32,30,28,31,30,14,26,32,12,32.0,30,27,21,22.0,1.0,28.0,27,20,20.0,26.0,32.0
