RndmForest OFF%,RndmForest DEF%,RndmForest,DecisTree OFF%,DecisTree DEF%,DecisTree,SVC OFF%,SVC DEF%,SVC,LogReg OFF%,LogReg DEF%,LogReg,SGD OFF%,SGD DEF%,SGD,KNN10 OFF%,KNN10 DEF%,KNN10,KNN19 OFF%,KNN19 DEF%,KNN19,KNN32 OFF%,KNN32 DEF%,KNN32,NaiveBayes OFF%,NaiveBayes DEF%,NaiveBayes
0.41,0.59,2,1.0,0.0,1,0.48097617279269395,0.5190238272073061,2,0.7819374120940906,0.2180625879059094,1,0.49426183947138025,0.5057381605286198,2,0.2,0.8,2,0.2631578947368421,0.7368421052631579,2,0.46875,0.53125,2,0.9741452055268448,0.025854794473146033,1
0.46,0.54,2,1.0,0.0,1,0.5,0.5,1,0.4115064947235222,0.5884935052764778,2,0.4954484619223554,0.5045515380776446,2,0.7,0.3,1,0.631578947368421,0.3684210526315789,1,0.5625,0.4375,1,0.9586860208559229,0.041313979144067314,1
0.39,0.61,2,0.0,1.0,2,0.46351480867097167,0.5364851913290282,2,0.37060624417329346,0.6293937558267065,2,0.47782048655830794,0.522179513441692,2,0.5,0.5,1,0.47368421052631576,0.5263157894736842,2,0.40625,0.59375,2,0.00018592046216986418,0.9998140795378345,2
0.38,0.62,2,0.0,1.0,2,0.43976673901518065,0.5602332609848193,2,0.1960853583291874,0.8039146416708126,2,0.4908831930494159,0.509116806950584,2,0.2,0.8,2,0.3157894736842105,0.6842105263157895,2,0.375,0.625,2,3.446318626870712e-08,0.999999965536802,2
0.47,0.53,2,0.0,1.0,2,0.451170466896316,0.5488295331036839,2,0.6131260679302672,0.3868739320697328,1,0.5107517797551083,0.4892482202448917,1,0.4,0.6,2,0.42105263157894735,0.5789473684210527,2,0.34375,0.65625,2,0.016187728942180773,0.9838122710578272,2
0.45,0.55,2,1.0,0.0,1,0.4316017041430803,0.5683982958569197,2,0.522519323492159,0.47748067650784104,1,0.49131681333544364,0.5086831866645564,2,0.5,0.5,1,0.47368421052631576,0.5263157894736842,2,0.375,0.625,2,3.6268871632666245e-06,0.9999963731128336,2
0.39,0.61,2,0.0,1.0,2,0.44587316061650606,0.5541268393834939,2,0.22023171183094714,0.7797682881690529,2,0.49385764603856774,0.5061423539614323,2,0.4,0.6,2,0.3684210526315789,0.631578947368421,2,0.375,0.625,2,1.6384220317758944e-07,0.999999836157783,2
0.54,0.46,1,1.0,0.0,1,0.526803149383681,0.47319685061631905,1,0.4792332848847902,0.5207667151152098,2,0.49361523757117676,0.5063847624288231,2,0.8,0.2,1,0.7368421052631579,0.2631578947368421,1,0.71875,0.28125,1,0.06479460306709686,0.9352053969328921,2
0.56,0.44,1,0.0,1.0,2,0.554057871390049,0.44594212860995097,1,0.7083642376729447,0.2916357623270554,1,0.49630208479094506,0.5036979152090549,2,0.6,0.4,1,0.631578947368421,0.3684210526315789,1,0.65625,0.34375,1,0.9997780845059068,0.0002219154941033047,1
0.57,0.43,1,0.0,1.0,2,0.5308871140069911,0.4691128859930089,1,0.7140623170008944,0.28593768299910566,1,0.4866091533764762,0.5133908466235239,2,0.6,0.4,1,0.631578947368421,0.3684210526315789,1,0.59375,0.40625,1,0.646285861282582,0.35371413871742136,1
0.44,0.56,2,0.0,1.0,2,0.43680781840196503,0.563192181598035,2,0.4197574969637853,0.5802425030362147,2,0.47796883208755625,0.5220311679124439,2,0.3,0.7,2,0.3157894736842105,0.6842105263157895,2,0.3125,0.6875,2,4.879160536115316e-06,0.9999951208394522,2
0.35,0.65,2,0.0,1.0,2,0.45948223419049355,0.5405177658095064,2,0.17782192779924655,0.8221780722007535,2,0.47745606032430443,0.5225439396756956,2,0.2,0.8,2,0.2631578947368421,0.7368421052631579,2,0.4375,0.5625,2,4.740544566316107e-12,0.9999999999952536,2
0.5,0.5,1,1.0,0.0,1,0.47614707398062894,0.5238529260193711,2,0.7026435253281917,0.2973564746718082,1,0.48224591322926624,0.5177540867707338,2,0.6,0.4,1,0.631578947368421,0.3684210526315789,1,0.59375,0.40625,1,0.9873911771787769,0.012608822821224023,1
0.61,0.39,1,1.0,0.0,1,0.5567687489042911,0.443231251095709,1,0.6562492605586048,0.3437507394413953,1,0.4846732882918845,0.5153267117081155,2,0.7,0.3,1,0.631578947368421,0.3684210526315789,1,0.53125,0.46875,1,0.9938546309663128,0.006145369033696349,1
0.57,0.43,1,1.0,0.0,1,0.5088557683937897,0.4911442316062102,1,0.5420955822691957,0.45790441773080426,1,0.4851084410219957,0.5148915589780043,2,0.5,0.5,1,0.631578947368421,0.3684210526315789,1,0.5,0.5,1,0.8911530327406476,0.10884696725936342,1
0.35,0.65,2,0.0,1.0,2,0.3969580337532007,0.6030419662467992,2,0.48552955825213373,0.5144704417478663,2,0.4774182892539066,0.5225817107460934,2,0.3,0.7,2,0.2631578947368421,0.7368421052631579,2,0.28125,0.71875,2,6.493769076088461e-07,0.999999350623097,2
0.52,0.48,1,1.0,0.0,1,0.4290314768490667,0.5709685231509333,2,0.28062825082121357,0.7193717491787864,2,0.4922734786046282,0.5077265213953717,2,0.3,0.7,2,0.42105263157894735,0.5789473684210527,2,0.375,0.625,2,1.6292936116905155e-06,0.999998370706399,2
