Year,Round,Pick,Name,Team,Position
2012,1,21,Chandler Jones,Patriots,DE
2012,1,22,Brandon Weeden,Browns,QB
2012,1,23,Riley Reiff,Lions,T
2012,1,24,David DeCastro,Steelers,G
2012,1,25,Dont'a Hightower,Patriots,LB
2012,1,26,Whitney Mercilus,Texans,DE
2012,1,27,Kevin Zeitler,Bengals,G
2012,1,28,Nick Perry,Packers,DE
2012,1,29,Harrison Smith,Vikings,DB
2012,1,30,A.J. Jenkins,49ers,WR
2012,1,31,Doug Martin,Buccaneers,RB
2012,1,32,David Wilson,Giants,RB
2011,1,1,Cam Newton,Panthers,QB
2011,1,2,Von Miller,Broncos,LB
2011,1,3,Marcell Dareus,Bills,DT
2011,1,4,A.J. Green,Bengals,WR
2011,1,5,Patrick Peterson,Cardinals,DB
2011,1,6,Julio Jones,Falcons,WR
2011,1,7,Aldon Smith,49ers,DE
2011,1,8,Jake Locker,Titans,QB
2011,1,9,Tyron Smith,Cowboys,T
2011,1,10,Blaine Gabbert,Jaguars,QB
2011,1,11,J.J. Watt,Texans,DE
2011,1,12,Christian Ponder,Vikings,QB
2011,1,13,Nick Fairley,Lions,DT
2011,1,14,Robert Quinn,Rams,DE
2011,1,15,Mike Pouncey,Dolphins,G
2011,1,16,Ryan Kerrigan,Redskins,LB
2011,1,17,Nate Solder,Patriots,T
2011,1,18,Corey Liuget,Chargers,DT
2011,1,19,Prince Amukamara,Giants,DB
2011,1,20,Adrian Clayborn,Buccaneers,DE
2011,1,21,Phil Taylor,Browns,DT
2011,1,22,Anthony Castonzo,Colts,T
2011,1,23,Danny Watkins,Eagles,G
2011,1,24,Cameron Jordan,Saints,DE
2011,1,25,James Carpenter,Seahawks,T
2011,1,26,Jonathan Baldwin,Chiefs,WR
2011,1,27,Jimmy Smith,Ravens,DB
2011,1,28,Mark Ingram,Saints,RB
2011,1,29,Gabe Carimi,Bears,T
2011,1,30,Muhammad Wilkerson,Jets,DT
2011,1,31,Cameron Heyward,Steelers,DE
2011,1,32,Derek Sherrod,Packers,T
2010,1,1,Sam Bradford,Rams,QB
2010,1,2,Ndamukong Suh,Lions,DT
2010,1,3,Gerald McCoy,Buccaneers,DT
2010,1,4,Trent Williams,Redskins,T
2010,1,5,Eric Berry,Chiefs,DB
2010,1,6,Russell Okung,Seahawks,T
2010,1,7,Joe Haden,Browns,DB
2010,1,8,Rolando McClain,Raiders,LB
2010,1,9,C.J. Spiller,Bills,RB
2010,1,10,Tyson Alualu,Jaguars,DE
