Year,Round,Pick,Name,Team,Position
2002,1,12,Wendell Bryant,Cardinals,DT
2002,1,13,Donte' Stallworth,Saints,WR
2002,1,14,Jeremy Shockey,Giants,TE
2002,1,15,Albert Haynesworth,Titans,DT
2002,1,16,William Green,Browns,RB
2002,1,17,Phillip Buchanon,Raiders,DB
2002,1,18,T.J. Duckett,Falcons,RB
2002,1,19,Ashley Lelie,Broncos,WR
2002,1,20,Javon Walker,Packers,WR
2002,1,21,Dan Graham,Patriots,TE
2002,1,22,Bryan Thomas,Jets,DE
2002,1,23,Napoleon Harris,Raiders,LB
2002,1,24,Ed Reed,Ravens,DB
2002,1,25,Charles Grant,Saints,DE
2002,1,26,Lito Sheppard,Eagles,DB
2002,1,27,Mike Rumph,49ers,DB
2002,1,28,Jerramy Stevens,Seahawks,TE
2002,1,29,Marc Colombo,Bears,T
2002,1,30,Kendall Simmons,Steelers,G
2002,1,31,Robert Thomas,Rams,LB
2002,1,32,Patrick Ramsey,Redskins,QB
2001,1,1,Michael Vick,Falcons,QB
2001,1,2,Leonard Davis,Cardinals,T
2001,1,3,Gerard Warren,Browns,DT
2001,1,4,Justin Smith,Bengals,DE
2001,1,5,LaDainian Tomlinson,Chargers,RB
2001,1,6,Richard Seymour,Patriots,DT
2001,1,7,Andre Carter,49ers,DE
2001,1,8,David Terrell,Bears,WR
2001,1,9,Koren Robinson,Seahawks,WR
2001,1,10,Jamal Reynolds,Packers,DE
2001,1,11,Dan Morgan,Panthers,LB
2001,1,12,Damione Lewis,Rams,DT
2001,1,13,Marcus Stroud,Jaguars,DT
2001,1,14,Kenyatta Walker,Buccaneers,T
2001,1,15,Rod Gardner,Redskins,WR
2001,1,16,Santana Moss,Jets,WR
2001,1,17,Steve Hutchinson,Seahawks,G
2001,1,18,Jeff Backus,Lions,T
2001,1,19,Casey Hampton,Steelers,DT
2001,1,20,Adam Archuleta,Rams,DB
2001,1,21,Nate Clements,Bills,DB
2001,1,22,Will Allen,Giants,DB
2001,1,23,Deuce McAllister,Saints,RB
2001,1,24,Willie Middlebrooks,Broncos,DB
2001,1,25,Freddie Mitchell,Eagles,WR
2001,1,26,Jamar Fletcher,Dolphins,DB
2001,1,27,Michael Bennett,Vikings,RB
2001,1,28,Derrick Gibson,Raiders,DB
2001,1,29,Ryan Pickett,Rams,DE
2001,1,30,Reggie Wayne,Colts,WR
2001,1,31,Todd Heap,Ravens,TE
2000,1,1,Courtney Brown,Browns,DE
2000,1,2,LaVar Arrington,Redskins,LB
2000,1,3,Chris Samuels,Redskins,T
2000,1,4,Peter Warrick,Bengals,WR
2000,1,5,Jamal Lewis,Ravens,RB
2000,1,6,Corey Simon,Eagles,DT
2000,1,7,Thomas Jones,Cardinals,RB
2000,1,8,Plaxico Burress,Steelers,WR
2000,1,9,Brian Urlacher,Bears,LB
2000,1,10,Travis Taylor,Ravens,WR
2000,1,11,Ron Dayne,Giants,RB
2000,1,12,Shaun Ellis,Jets,DE
2000,1,13,John Abraham,Jets,LB
2000,1,14,Bubba Franks,Packers,TE
2000,1,15,Deltha O'Neal,Broncos,DB
2000,1,16,Julian Peterson,49ers,LB
2000,1,17,Sebastian Janikowski,Raiders,K
2000,1,18,Chad Pennington,Jets,QB
2000,1,19,Shaun Alexander,Seahawks,RB
2000,1,20,Stockar McDougle,Lions,T
2000,1,21,Sylvester Morris,Chiefs,WR
2000,1,22,Chris McIntosh,Seahawks,T
2000,1,23,Rashard Anderson,Panthers,DB
2000,1,24,Ahmed Plummer,49ers,DB
2000,1,25,Chris Hovan,Vikings,DT
2000,1,26,Erik Flowers,Bills,DE
2000,1,27,Anthony Becht,Jets,TE
2000,1,28,Rob Morris,Colts,LB
2000,1,29,R. Jay Soward,Jaguars,WR
2000,1,30,Keith Bulluck,Titans,LB
2000,1,31,Trung Canidate,Rams,RB
