ID,Pick Number,Team PF,Team TO,Team Att,Team Yds.1,Team TD,Team Int,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Opp. PF,Opp. TO,Opp. Att,Opp. Yds.1,Opp. TD,Opp. Int,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Off. Rank PF,Off. Rank Yds.1,Off. Rank TO,Off. Rank Att,Def. Rank PF,Def. Rank Yds.1,Def. Rank TO,Def. Rank Att
76,13,319.0,23.0,455.0,2900.0,26.0,13.0,371.0,1738.0,7.0,4.7,75.0,433.0,28.0,508.0,3932.0,31.0,21.0,485.0,2325.0,17.0,4.8,116.0,26.0,30.0,20.0,30.0,27.0,21.0,5.0,7.0
77,14,414.0,18.0,617.0,4653.0,36.0,7.0,351.0,1573.0,11.0,4.5,84.0,423.0,19.0,585.0,4153.0,33.0,15.0,409.0,1999.0,16.0,4.9,115.0,10.0,4.0,7.0,5.0,25.0,27.0,20.0,26.0
78,15,281.0,19.0,509.0,3021.0,16.0,15.0,414.0,1774.0,12.0,4.3,96.0,359.0,26.0,537.0,3794.0,27.0,15.0,413.0,1860.0,12.0,4.5,109.0,29.0,28.0,11.0,26.0,15.0,15.0,10.0,13.0
79,16,376.0,22.0,563.0,3836.0,28.0,16.0,416.0,2136.0,17.0,5.1,117.0,382.0,23.0,529.0,3847.0,32.0,13.0,384.0,1804.0,13.0,4.7,110.0,14.0,16.0,19.0,15.0,19.0,18.0,14.0,9.0
80,17,369.0,19.0,583.0,4047.0,23.0,12.0,354.0,1650.0,13.0,4.7,71.0,412.0,21.0,560.0,4044.0,24.0,16.0,444.0,1898.0,18.0,4.3,103.0,16.0,11.0,11.0,9.0,23.0,23.0,15.0,20.0
81,18,360.0,20.0,606.0,4036.0,30.0,10.0,357.0,1493.0,9.0,4.2,66.0,341.0,20.0,503.0,3140.0,15.0,12.0,440.0,1815.0,13.0,4.1,107.0,19.0,13.0,16.0,6.0,9.0,3.0,16.0,5.0
82,19,310.0,18.0,437.0,2975.0,16.0,12.0,456.0,2027.0,15.0,4.4,106.0,303.0,17.0,533.0,3471.0,21.0,11.0,429.0,1863.0,9.0,4.3,98.0,27.0,29.0,7.0,31.0,3.0,6.0,22.0,10.0
83,20,329.0,21.0,588.0,3695.0,19.0,15.0,393.0,1907.0,18.0,4.9,107.0,349.0,28.0,549.0,3929.0,26.0,17.0,429.0,1913.0,11.0,4.5,85.0,24.0,19.0,18.0,8.0,13.0,20.0,5.0,19.0
84,21,376.0,15.0,640.0,4238.0,25.0,4.0,333.0,1667.0,14.0,5.0,98.0,400.0,15.0,527.0,3752.0,30.0,7.0,446.0,1918.0,15.0,4.3,100.0,14.0,9.0,2.0,3.0,22.0,12.0,29.0,8.0
85,22,367.0,23.0,599.0,4275.0,29.0,11.0,398.0,1570.0,12.0,3.9,94.0,348.0,17.0,626.0,4308.0,22.0,10.0,332.0,1551.0,14.0,4.7,71.0,18.0,7.0,20.0,7.0,12.0,30.0,22.0,30.0
86,23,402.0,16.0,506.0,3781.0,26.0,9.0,472.0,2021.0,12.0,4.3,94.0,316.0,29.0,594.0,4167.0,28.0,15.0,385.0,1323.0,8.0,3.4,76.0,11.0,17.0,3.0,27.0,4.0,28.0,4.0,27.0
87,24,290.0,24.0,556.0,3751.0,19.0,10.0,387.0,1628.0,9.0,4.2,86.0,467.0,17.0,480.0,3853.0,36.0,14.0,480.0,2249.0,16.0,4.7,108.0,28.0,18.0,22.0,16.0,32.0,19.0,22.0,1.0
88,25,389.0,20.0,556.0,3558.0,18.0,9.0,547.0,2441.0,19.0,4.5,153.0,287.0,17.0,577.0,3360.0,21.0,12.0,354.0,1327.0,11.0,3.7,82.0,13.0,22.0,16.0,16.0,2.0,5.0,22.0,23.0
89,26,281.0,19.0,509.0,3021.0,16.0,15.0,414.0,1774.0,12.0,4.3,96.0,359.0,26.0,537.0,3794.0,27.0,15.0,413.0,1860.0,12.0,4.5,109.0,29.0,28.0,11.0,26.0,15.0,15.0,10.0,13.0
90,27,290.0,24.0,556.0,3751.0,19.0,10.0,387.0,1628.0,9.0,4.2,86.0,467.0,17.0,480.0,3853.0,36.0,14.0,480.0,2249.0,16.0,4.7,108.0,28.0,18.0,22.0,16.0,32.0,19.0,22.0,1.0
91,28,428.0,19.0,512.0,4089.0,32.0,12.0,399.0,1873.0,16.0,4.7,100.0,329.0,20.0,548.0,3646.0,23.0,13.0,395.0,1693.0,11.0,4.3,101.0,6.0,10.0,11.0,24.0,8.0,9.0,16.0,18.0
92,29,428.0,11.0,427.0,3093.0,35.0,7.0,534.0,2560.0,15.0,4.8,133.0,347.0,26.0,546.0,3842.0,26.0,12.0,366.0,1811.0,9.0,4.9,91.0,6.0,27.0,1.0,32.0,11.0,17.0,10.0,17.0
93,30,369.0,19.0,583.0,4047.0,23.0,12.0,354.0,1650.0,13.0,4.7,71.0,412.0,21.0,560.0,4044.0,24.0,16.0,444.0,1898.0,18.0,4.3,103.0,16.0,11.0,11.0,9.0,23.0,23.0,15.0,20.0
94,31,414.0,18.0,617.0,4653.0,36.0,7.0,351.0,1573.0,11.0,4.5,84.0,423.0,19.0,585.0,4153.0,33.0,15.0,409.0,1999.0,16.0,4.9,115.0,10.0,4.0,7.0,5.0,25.0,27.0,20.0,26.0
95,32,436.0,18.0,574.0,4258.0,29.0,11.0,478.0,2037.0,18.0,4.3,131.0,325.0,28.0,605.0,3943.0,29.0,18.0,367.0,1803.0,7.0,4.9,93.0,4.0,8.0,7.0,11.0,7.0,22.0,5.0,28.0
96,1,234.0,41.0,574.0,3228.0,15.0,28.0,384.0,1714.0,11.0,4.5,97.0,410.0,13.0,525.0,3684.0,28.0,7.0,467.0,1566.0,14.0,3.4,95.0,32.0,22.0,32.0,9.0,31.0,19.0,32.0,8.0
97,2,246.0,22.0,608.0,3479.0,20.0,14.0,394.0,1549.0,6.0,3.9,66.0,388.0,19.0,561.0,4038.0,32.0,13.0,464.0,1933.0,10.0,4.2,101.0,31.0,19.0,14.0,1.0,27.0,31.0,23.0,23.0
